Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W307    3463.21         3575.3          0.145569        0.968649        47.5441         1.34042         
W308    3465.45         3475.81         0.13952         0.99702         36.374          2.95579         
W309    3467.55         3141.14         0.104836        1.10391         45.148          3.83919         
W310    3469.52         3483.72         0.131598        0.995924        32.8902         2.49735         
W311    3471.34         3453.71         0.132938        1.00511         79.8412         3.04322         
W312    3473.03         3474.92         0.13699         0.999457        85.7406         0.506386        
W313    3474.58         3468.14         0.134296        1.00186         101.284         0.865609        
W314    3475.99         3474.08         0.145472        1.00055         58.7736         4.51582         
W315    3477.27         3476.65         0.145499        1.00018         47.134          0.344597        
W316    3478.4          3478.12         0.138113        1.00008         74.7663         3.57681         
W317    3479.39         3482.02         0.130611        0.999244        60.9221         0.319415        
W318    3480.24         3479.54         0.134718        1.0002          72.7019         1.25011         
W319    3480.95         3479.7          0.141429        1.00036         73.9092         1.81799         
W320    3481.51         3484.53         0.120896        0.999135        76.0276         1.06127         
W321    3481.94         3481.84         0.132748        1.00003         73.4194         2.40953         
W322    3482.22         3482.43         0.132293        0.999941        101.571         0.48537         
W323    3482.37         3483.38         0.130867        0.99971         74.5202         2.58626         
W324    3482.37         3480.53         0.133111        1.00053         58.8448         4.02234         
W325    3482.22         3481.95         0.130875        1.00008         68.5245         1.40867         
W326    3481.94         3481.93         0.139984        1               67.1034         0.799855        
W327    3481.51         3482.18         0.140873        0.99981         71.3647         0.989962        
W328    3480.95         3488.16         0.128832        0.997931        64.5231         0.156836        
W329    3480.24         3481.17         0.136706        0.999732        86.4781         1.4995          
W330    3479.39         3474.28         0.146795        1.00147         82.5306         2.81008         
W331    3478.4          3478.53         0.142229        0.999963        74.9199         0.716099        
W332    3477.27         3472.39         0.131146        1.0014          80.4948         2.41644         
W333    3475.99         3460.49         0.162414        1.00448         68.4958         1.47617         
W334    3474.58         3479.04         0.142999        0.99872         42.6348         2.39399         
W335    3473.03         3467.94         0.13613         1.00147         156.415         0.560818        
W336    3471.34         3456.58         0.131141        1.00427         45.0045         0.399558        
W337    3469.52         3485.5          0.140597        0.995415        36.3195         1.22663         
W338    3467.55         3457.37         0.151513        1.00294         53.8235         0.662455        
W339    3465.45         3473.36         0.137831        0.997722        54.3274         0.86794         
